,AI 0,AI 1,AI 2,AI 3,AI 4,AI 5
AI 0,/,D,D,D,D,D
AI 1,V,/,V,V,D,V
AI 2,V,V,/,D,D,D
AI 3,V,V,D,/,D,D
AI 4,V,V,D,D,/,V
AI 5,V,V,V,V,D,/
